userName,content
Joy Biswas,"1it was very good at playing video but after update there is no full screen option, in my tablet i have to manually turn on auto rotate then i can watch in full screen. Updates make it worse."
Pankaj Gupta,Very disgusting app
Prajwal N Poojary,"Wz, and Rd z,hvH b h,h"
Wendil Eudilla,It always deducting my gcash even though i already cancelled my subscription.so dissappointing
noah loeffler,Invincible 10/10
Nadeem Nadeem,This app an amazing experience for watching movies and series. I have really enjoyed it a lot.
Yophono,Sometimes just doesn't work. Getting stuck in infinite loading or just pausing your movie and skipping through it for no reason. Ui is also terrible.
sanjay pratap,Even though we are subscribed still so many best movies are under rent
Sam Coles,Was awesome when i first joined but just recently its got ads and a lot of buy or rent stuff instead of it being free.
Red “Stranded Ace” Baron,I would have given it's 5 stars if not for the lack of a speed playback option.
Yashmit Sharma,Sometimes does not load
Josephite Taz,The new ads they introduced is just pathetic. Already paying for subscription and they want more money. Getting revenue from the ads isn't enough so they charge customers on top. Atleast get rid of ads on the app. It takes more data to load these ads.
Kuro Sparda,"Good but Netflix app is much better, or any video software, such as VLCmedia player the past 15 years. Its oblivious that they didnt figure the basic stuff out yet. Who are they hiring? 2 stars cause I could watch the video in HD quality most of the time. Cheers. PS.: if you hire me, you beat Netflix, gl out there Amazon!"
Tim Davis,Don't fall for the $2.99 no commercials scam
Jabir Khan,You have added most probably a useless feature of identifying actors but you cannot add a lock and playback speed. Nor a zoom option with pinching.
ansley Carvalho,Exciting movies to watch
Arsen Tovmasyan,disgusting no star
jitendra dubey,Nice app
Donald warren Moon jr,I'm so excited to see what the Eyes of the Lord is not working for me to get ahold of you
Yashwanth,"PROBLEMS TO BE NOTED PLEASE : 1) When you open any video, it doesn't go automatically in full screen mode, have to manually do it everytime. 2) You can't get the video streched end to end of screen, the zoom option just zooms the video which results in picture getting cut. I request you to please fix these as soon as possible."
Reel Michigan Bass-turds,Love it!
zeenat khan,"Bohat bekar hai ye 2 din se login karre hai hora nai, forget password b karo to b nai customer care me call karo to number change hai, dusre number pe koi call answer hi nai kara hai. Isse acha Netflix hai stupid Amazon (all amazon products stupid)"
Vijendar Bashaveni,Not installed
Squidatomic,Best price great selection of stuff to watch
sphiwe ncube,Great app
Mary Aileen Sulleza,I already paid for subscription but why is it that it still state that I am not subscribe to the app?? Do I need to pay again just like last month?
santhosh kumar,I want to watch the DADA Movie. But can't because it not available in tamil.it is the tamil movie in original but it available only in Hindi it is not fair
Rakesh Pherwani,The UX is good.
Saurabh Kumar,Nice apk
Jonathan Thomson,Gotta be down with prime video 📹 👀
